codmpio,depto,provincia,altura,region
25839,Cundinamarca,Guavio,1949,Andina
25841,Cundinamarca,Oriente,1867,Andina
25843,Cundinamarca,Ubaté,2559,Andina
25845,Cundinamarca,Oriente,2376,Andina
25851,Cundinamarca,Gualiva,497,Andina
25862,Cundinamarca,Gualiva,1510,Andina
25867,Cundinamarca,Magdalena centro,1498,Andina
25871,Cundinamarca,Rio negro,1575,Andina
25873,Cundinamarca,Almeidas,2715,Andina
25875,Cundinamarca,Gualiva,799,Andina
25878,Cundinamarca,Tequendama,567,Andina
25885,Cundinamarca,Rio negro,1416,Andina
25898,Cundinamarca,Sabana occidente,1416,Andina
25899,Cundinamarca,Sabana centro,2652,Andina
27001,Chocó,Atrato,43,Pacifica
27006,Chocó,Darien,5,Pacifica
27025,Chocó,Pacifico sur,80,Pacifica
27050,Chocó,Atrato,80,Pacifica
27073,Chocó,Atrato,90,Pacifica
27075,Chocó,Pacifico norte,5,Pacifica
27077,Chocó,Pacifico sur,12,Pacifica
27099,Chocó,Atrato,12,Pacifica
27135,Chocó,San juan,65,Pacifica
27150,Chocó,Darien,65,Pacifica
27160,Chocó,San juan,65,Pacifica
27205,Chocó,San juan,70,Pacifica
27245,Chocó,Atrato,1592,Pacifica
27250,Chocó,Pacifico sur,1536,Pacifica
27361,Chocó,San juan,65,Pacifica
27372,Chocó,Pacifico norte,5,Pacifica
27413,Chocó,Atrato,69,Pacifica
27425,Chocó,Atrato,69,Pacifica
27430,Chocó,Pacifico sur,69,Pacifica
27450,Chocó,San juan,69,Pacifica
27491,Chocó,San juan,70,Pacifica
27495,Chocó,Pacifico norte,70,Pacifica
27580,Chocó,San juan,70,Pacifica
27600,Chocó,Atrato,70,Pacifica
27615,Chocó,Darien,18,Pacifica
27660,Chocó,San juan,750,Pacifica
27745,Chocó,San juan,80,Pacifica
27787,Chocó,San juan,90,Pacifica
27800,Chocó,Darien,5,Pacifica
27810,Chocó,San juan,5,Pacifica
41001,Huila,Norte,442,Andina
41006,Huila,Sur,1348,Andina
41013,Huila,Centro,838,Andina
41016,Huila,Norte,390,Andina
41020,Huila,Norte,1100,Andina
41026,Huila,Centro,1079,Andina
41078,Huila,Norte,730,Andina
41132,Huila,Norte,531,Andina
41206,Huila,Norte,850,Andina
41244,Huila,Sur,1425,Andina
41298,Huila,Centro,828,Andina
41306,Huila,Centro,808,Andina
41319,Huila,Centro,929,Andina
41349,Huila,Norte,595,Andina
41357,Huila,Norte,1123,Andina
41359,Huila,Sur,2000,Andina
41378,Huila,Occidente,1930,Andina
41396,Huila,Occidente,1018,Andina
41483,Huila,Occidente,1480,Andina
41503,Huila,Sur,1250,Andina
41518,Huila,Occidente,866,Andina
41524,Huila,Norte,550,Andina
41530,Huila,Sur,1318,Andina
41548,Huila,Centro,918,Andina
41551,Huila,Sur,1318,Andina
41615,Huila,Norte,729,Andina
41660,Huila,Sur,1316,Andina
41668,Huila,Sur,1695,Andina
41676,Huila,Norte,1315,Andina
41770,Huila,Centro,1000,Andina
41791,Huila,Centro,826,Andina
41797,Huila,Occidente,833,Andina
41799,Huila,Norte,575,Andina
41801,Huila,Norte,910,Andina
41807,Huila,Sur,1100,Andina
41872,Huila,Norte,384,Andina
41885,Huila,Norte,560,Andina
44001,La Guajira,Norte,3,Caribe
44035,La Guajira,Norte,3,Caribe
44078,La Guajira,Sur,150,Caribe
44090,La Guajira,Norte,120,Caribe
44098,La Guajira,Sur,181,Caribe
44110,La Guajira,Sur,10,Caribe
44279,La Guajira,Sur,181,Caribe
44378,La Guajira,Sur,120,Caribe
44420,La Guajira,Sur,120,Caribe
44430,La Guajira,Norte,52,Caribe
44560,La Guajira,Norte,32,Caribe
44650,La Guajira,Sur,213,Caribe
44847,La Guajira,Norte,32,Caribe
44855,La Guajira,Sur,234,Caribe
44874,La Guajira,Sur,234,Caribe
47001,Magdalena,Santa marta,120,Caribe
47030,Magdalena,Norte,120,Caribe
47053,Magdalena,Norte,40,Caribe
47058,Magdalena,Centro,175,Caribe
47161,Magdalena,Rio,11,Caribe
47170,Magdalena,Centro,20,Caribe
47189,Magdalena,Norte,3,Caribe
47205,Magdalena,Rio,3,Caribe
47245,Magdalena,Sur,25,Caribe
47258,Magdalena,Rio,7,Caribe
47268,Magdalena,Norte,123,Caribe
47288,Magdalena,Norte,45,Caribe
47318,Magdalena,Sur,25,Caribe
47460,Magdalena,Centro,25,Caribe
47541,Magdalena,Rio,12,Caribe
47545,Magdalena,Sur,6,Caribe
47551,Magdalena,Rio,3,Caribe
47555,Magdalena,Centro,20,Caribe
47570,Magdalena,Norte,2,Caribe
47605,Magdalena,Rio,7,Caribe
47660,Magdalena,Centro,7,Caribe
47675,Magdalena,Rio,6,Caribe
47692,Magdalena,Sur,25,Caribe
47703,Magdalena,Sur,25,Caribe
47707,Magdalena,Sur,6,Caribe
47720,Magdalena,Sur,6,Caribe
47745,Magdalena,Rio,5,Caribe
47798,Magdalena,Centro,20,Caribe
47960,Magdalena,Rio,20,Caribe
47980,Magdalena,Norte,20,Caribe
50001,Meta,Capital,467,Orinoquia
50006,Meta,Piedemonte,522,Orinoquia
50110,Meta,Piedemonte,1290,Orinoquia
50124,Meta,Rio meta,235,Orinoquia
50150,Meta,Piedemonte,450,Orinoquia
50223,Meta,Piedemonte,180,Orinoquia
50226,Meta,Piedemonte,480,Orinoquia
50245,Meta,Piedemonte,1766,Orinoquia
50251,Meta,Ariari,2050,Orinoquia
50270,Meta,Ariari,2050,Orinoquia
50287,Meta,Ariari,400,Orinoquia
50313,Meta,Ariari,450,Orinoquia
50318,Meta,Piedemonte,518,Orinoquia
50325,Meta,Ariari,518,Orinoquia
50330,Meta,Ariari,450,Orinoquia
50350,Meta,Ariari,518,Orinoquia
50370,Meta,Ariari,518,Orinoquia
50400,Meta,Ariari,518,Orinoquia
50450,Meta,Ariari,518,Orinoquia
50568,Meta,Rio meta,150,Orinoquia
50573,Meta,Rio meta,181,Orinoquia
50577,Meta,Ariari,250,Orinoquia
50590,Meta,Ariari,250,Orinoquia
50606,Meta,Piedemonte,550,Orinoquia
50680,Meta,Piedemonte,240,Orinoquia
50683,Meta,Ariari,450,Orinoquia
50686,Meta,Piedemonte,1766,Orinoquia
50689,Meta,Piedemonte,419,Orinoquia
50711,Meta,Ariari,450,Orinoquia
52001,Nariño,Centro,2527,Pacifica
52019,Nariño,Norte,1950,Pacifica
52022,Nariño,Sur,3013,Pacifica
52036,Nariño,Centro occidente,1358,Pacifica
52051,Nariño,Norte,2200,Pacifica
52079,Nariño,Costa,36,Pacifica
52083,Nariño,Norte,2162,Pacifica
52110,Nariño,Norte,1960,Pacifica
52203,Nariño,Norte,1914,Pacifica
52207,Nariño,Centro,1640,Pacifica
52210,Nariño,Sur,2475,Pacifica
52215,Nariño,Sur,2867,Pacifica
52224,Nariño,Sur,2980,Pacifica
52227,Nariño,Sur,3032,Pacifica
52233,Nariño,Norte,1300,Pacifica
52240,Nariño,Centro,1950,Pacifica
52250,Nariño,Costa,5,Pacifica
52254,Nariño,Centro,5,Pacifica
52256,Nariño,Norte,1645,Pacifica
52258,Nariño,Norte,1600,Pacifica
52260,Nariño,Centro,2216,Pacifica
52287,Nariño,Sur,2380,Pacifica
52317,Nariño,Sur,3087,Pacifica
52320,Nariño,Centro occidente,2670,Pacifica
52323,Nariño,Sur,2830,Pacifica
52352,Nariño,Sur,2985,Pacifica
52354,Nariño,Sur,2550,Pacifica
52356,Nariño,Sur,2897,Pacifica
52378,Nariño,Norte,2162,Pacifica
52381,Nariño,Centro,2180,Pacifica
52385,Nariño,Centro occidente,100,Pacifica
52390,Nariño,Costa,595,Pacifica
52399,Nariño,Norte,1727,Pacifica
52405,Nariño,Norte,1645,Pacifica
52411,Nariño,Centro occidente,1200,Pacifica
52418,Nariño,Centro occidente,1588,Pacifica
52427,Nariño,Costa,28,Pacifica
52435,Nariño,Centro occidente,1809,Pacifica
52473,Nariño,Costa,20,Pacifica
52480,Nariño,Centro,20,Pacifica
52490,Nariño,Costa,2546,Pacifica
52506,Nariño,Centro occidente,2877,Pacifica
52520,Nariño,Costa,2,Pacifica
52540,Nariño,Norte,880,Pacifica
52560,Nariño,Sur,2746,Pacifica
52565,Nariño,Centro occidente,1817,Pacifica
52573,Nariño,Sur,2817,Pacifica
52585,Nariño,Sur,3014,Pacifica
52612,Nariño,Centro occidente,1181,Pacifica
52621,Nariño,Costa,1181,Pacifica
52678,Nariño,Centro occidente,1535,Pacifica
52683,Nariño,Centro,1817,Pacifica
52685,Nariño,Norte,100,Pacifica
52687,Nariño,Norte,2150,Pacifica
52693,Nariño,Norte,36,Pacifica
52694,Nariño,Norte,100,Pacifica
52696,Nariño,Costa,5,Pacifica
52699,Nariño,Centro occidente,2600,Pacifica
52720,Nariño,Centro occidente,3000,Pacifica
52786,Nariño,Norte,1500,Pacifica
52788,Nariño,Centro,2403,Pacifica
52835,Nariño,Costa,2,Pacifica
52838,Nariño,Centro occidente,3051,Pacifica
52885,Nariño,Centro,2670,Pacifica
54001,Norte de Santander,Oriental,320,Andina
54003,Norte de Santander,Occidente,1398,Andina
54051,Norte de Santander,Centro,946,Andina
54099,Norte de Santander,Sur oriente,1051,Andina
54109,Norte de Santander,Norte,1125,Andina
54125,Norte de Santander,Sur occidente,2400,Andina
54128,Norte de Santander,Occidente,2025,Andina
54172,Norte de Santander,Sur oriente,1175,Andina
54174,Norte de Santander,Sur occidente,2350,Andina
54206,Norte de Santander,Occidente,1020,Andina
54223,Norte de Santander,Centro,1277,Andina
54239,Norte de Santander,Sur oriente,950,Andina
54245,Norte de Santander,Occidente,761,Andina
54250,Norte de Santander,Norte,1650,Andina
54261,Norte de Santander,Oriental,220,Andina
54313,Norte de Santander,Centro,1044,Andina
54344,Norte de Santander,Occidente,1050,Andina
54347,Norte de Santander,Sur oriente,1955,Andina
54377,Norte de Santander,Sur oriente,1566,Andina
54385,Norte de Santander,Occidente,950,Andina
54398,Norte de Santander,Occidente,1450,Andina
54405,Norte de Santander,Oriental,431,Andina
54418,Norte de Santander,Centro,1411,Andina
54480,Norte de Santander,Sur occidente,2600,Andina
54498,Norte de Santander,Occidente,1202,Andina
54518,Norte de Santander,Sur occidente,2287,Andina
54520,Norte de Santander,Sur occidente,1725,Andina
54553,Norte de Santander,Oriental,1725,Andina
54599,Norte de Santander,Sur oriente,1550,Andina
54660,Norte de Santander,Centro,815,Andina
54670,Norte de Santander,Occidente,1650,Andina
54673,Norte de Santander,Oriental,235,Andina
54680,Norte de Santander,Centro,411,Andina
54720,Norte de Santander,Norte,300,Andina
54743,Norte de Santander,Sur occidente,2700,Andina
54800,Norte de Santander,Occidente,1158,Andina
54810,Norte de Santander,Norte,320,Andina
54820,Norte de Santander,Sur oriente,1642,Andina
54871,Norte de Santander,Centro,1600,Andina
54874,Norte de Santander,Oriental,431,Andina
63001,Quindio,Capital,1483,Andina
63111,Quindio,Capital,1450,Andina
63130,Quindio,Capital,1536,Andina
63190,Quindio,Norte,1772,Andina
63212,Quindio,Cordilleranos,1700,Andina
63272,Quindio,Fria,1932,Andina
63302,Quindio,Cordilleranos,1500,Andina
63401,Quindio,Valle,1350,Andina
63470,Quindio,Valle,1294,Andina
63548,Quindio,Cordilleranos,1700,Andina
63594,Quindio,Valle,1339,Andina
63690,Quindio,Fria,1895,Andina
66001,Risaralda,Uno - vertiente oriental,1411,Andina
66045,Risaralda,Dos - vertiente occidental,1600,Andina
66075,Risaralda,Dos - vertiente occidental,1356,Andina
66088,Risaralda,Dos - vertiente occidental,1564,Andina
66170,Risaralda,Uno - vertiente oriental,1420,Andina
66318,Risaralda,Dos - vertiente occidental,1530,Andina
66383,Risaralda,Dos - vertiente occidental,1950,Andina
66400,Risaralda,Uno - vertiente oriental,899,Andina
66440,Risaralda,Uno - vertiente oriental,1950,Andina
66456,Risaralda,Tres - vertiente,1518,Andina
66572,Risaralda,Del pacifico,1560,Andina
66594,Risaralda,Dos - vertiente occidental,1776,Andina
66682,Risaralda,Uno - vertiente oriental,1701,Andina
66687,Risaralda,Dos - vertiente occidental,1575,Andina
68001,Santander,Soto,959,Andina
68013,Santander,Vélez,1802,Andina
68020,Santander,Vélez,1925,Andina
68051,Santander,Guanenta,1805,Andina
68077,Santander,Vélez,1588,Andina
68079,Santander,Guanenta,1336,Andina
68081,Santander,Mares,75,Andina
68092,Santander,Mares,1820,Andina
68101,Santander,Vélez,2130,Andina
68121,Santander,Guanenta,980,Andina
68132,Santander,Soto,75,Andina
68147,Santander,Garcia rovira,1090,Andina
68152,Santander,Garcia rovira,2080,Andina
68160,Santander,Garcia rovira,660,Andina
68162,Santander,Garcia rovira,2500,Andina
68167,Santander,Guanenta,1291,Andina
68169,Santander,Soto,1995,Andina
68176,Santander,Comunera,1157,Andina
68179,Santander,Vélez,1950,Andina
68190,Santander,Vélez,158,Andina
68207,Santander,Garcia rovira,2005,Andina
68209,Santander,Comunera,1523,Andina
68211,Santander,Comunera,1690,Andina
68217,Santander,Guanenta,1450,Andina
68229,Santander,Guanenta,1491,Andina
68235,Santander,Mares,692,Andina
68245,Santander,Comunera,1750,Andina
68250,Santander,Vélez,2179,Andina
68255,Santander,Soto,1750,Andina
68264,Santander,Guanenta,1912,Andina
68266,Santander,Garcia rovira,1580,Andina
68271,Santander,Vélez,1850,Andina
68276,Santander,Soto,925,Andina
68296,Santander,Comunera,919,Andina
68298,Santander,Comunera,1900,Andina
68307,Santander,Soto,777,Andina
68318,Santander,Garcia rovira,2320,Andina
68320,Santander,Comunera,1395,Andina
68322,Santander,Comunera,1460,Andina
68324,Santander,Vélez,2000,Andina
68327,Santander,Vélez,1540,Andina
68344,Santander,Comunera,1370,Andina
68368,Santander,Vélez,1850,Andina
68370,Santander,Guanenta,425,Andina
68377,Santander,Vélez,18,Andina
68385,Santander,Vélez,2130,Andina
68397,Santander,Vélez,1934,Andina
68406,Santander,Soto,1015,Andina
68418,Santander,Soto,1310,Andina
68425,Santander,Garcia rovira,2320,Andina
68432,Santander,Garcia rovira,2200,Andina
68444,Santander,Soto,1550,Andina
68464,Santander,Guanenta,1700,Andina
68468,Santander,Garcia rovira,2196,Andina
68498,Santander,Guanenta,1420,Andina
68500,Santander,Comunera,1420,Andina
68502,Santander,Guanenta,1950,Andina
68522,Santander,Comunera,875,Andina
68524,Santander,Comunera,1170,Andina
68533,Santander,Guanenta,1410,Andina
68547,Santander,Soto,1005,Andina
68549,Santander,Guanenta,1133,Andina
68572,Santander,Vélez,1625,Andina
68573,Santander,Vélez,1625,Andina
68575,Santander,Mares,75,Andina
68615,Santander,Soto,590,Andina
68655,Santander,Mares,75,Andina
68669,Santander,Garcia rovira,1617,Andina
68673,Santander,Vélez,1248,Andina
68679,Santander,Guanenta,1114,Andina
68682,Santander,Guanenta,1950,Andina
68684,Santander,Garcia rovira,1980,Andina
68686,Santander,Garcia rovira,1920,Andina
68689,Santander,Mares,692,Andina
68705,Santander,Soto,1750,Andina
68720,Santander,Comunera,1750,Andina
68745,Santander,Comunera,1080,Andina
68755,Santander,Comunera,1230,Andina
68770,Santander,Comunera,1610,Andina
68773,Santander,Vélez,1807,Andina
68780,Santander,Soto,1750,Andina
68820,Santander,Soto,1850,Andina
68855,Santander,Guanenta,1250,Andina
68861,Santander,Vélez,2133,Andina
68867,Santander,Soto,75,Andina
68872,Santander,Guanenta,1450,Andina
68895,Santander,Mares,1720,Andina
70001,Sucre,Montes de maría,213,Caribe
70110,Sucre,Sabanas,90,Caribe
70124,Sucre,San jorge,25,Caribe
70204,Sucre,Montes de maría,150,Caribe
70215,Sucre,Sabanas,152,Caribe
70221,Sucre,Morrosquillo,152,Caribe
70230,Sucre,Montes de maría,280,Caribe
70233,Sucre,Sabanas,280,Caribe
70235,Sucre,Sabanas,70,Caribe
70265,Sucre,Mojana,25,Caribe
70400,Sucre,San jorge,65,Caribe
70418,Sucre,Sabanas,175,Caribe
70429,Sucre,Mojana,25,Caribe
70473,Sucre,Montes de maría,150,Caribe
70508,Sucre,Montes de maría,259,Caribe
70523,Sucre,Morrosquillo,40,Caribe
70670,Sucre,Sabanas,160,Caribe
70678,Sucre,San jorge,25,Caribe
70702,Sucre,Sabanas,135,Caribe
70708,Sucre,San jorge,25,Caribe
70713,Sucre,Morrosquillo,55,Caribe
70717,Sucre,Sabanas,120,Caribe
70742,Sucre,Sabanas,125,Caribe
70771,Sucre,Mojana,18,Caribe
70820,Sucre,Morrosquillo,3,Caribe
70823,Sucre,Morrosquillo,60,Caribe
73001,Tolima,Ibague,1285,Andina
73024,Tolima,Suroriente,1361,Andina
73026,Tolima,Ibague,439,Andina
73030,Tolima,Norte,241,Andina
73043,Tolima,Ibague,2010,Andina
73055,Tolima,Norte,2010,Andina
73067,Tolima,Sur,446,Andina
73124,Tolima,Ibague,1814,Andina
73148,Tolima,Oriente,328,Andina
73152,Tolima,Nevados,2081,Andina
73168,Tolima,Sur,854,Andina
73200,Tolima,Ibague,339,Andina
73217,Tolima,Sur,392,Andina
73226,Tolima,Oriente,475,Andina
73236,Tolima,Suroriente,1445,Andina
73268,Tolima,Ibague,323,Andina
73270,Tolima,Norte,983,Andina
73275,Tolima,Ibague,285,Andina
73283,Tolima,Norte,1478,Andina
73319,Tolima,Suroriente,312,Andina
73347,Tolima,Nevados,2250,Andina
73349,Tolima,Norte,225,Andina
73352,Tolima,Oriente,1304,Andina
73408,Tolima,Nevados,366,Andina
73411,Tolima,Nevados,1585,Andina
73443,Tolima,Norte,495,Andina
73449,Tolima,Oriente,323,Andina
73461,Tolima,Nevados,1585,Andina
73483,Tolima,Sur,326,Andina
73504,Tolima,Sur,402,Andina
73520,Tolima,Norte,1636,Andina
73547,Tolima,Ibague,403,Andina
73555,Tolima,Sur,1450,Andina
73563,Tolima,Suroriente,321,Andina
73585,Tolima,Suroriente,329,Andina
73616,Tolima,Sur,900,Andina
73622,Tolima,Sur,2640,Andina
73624,Tolima,Ibague,850,Andina
73671,Tolima,Suroriente,310,Andina
73675,Tolima,Sur,1448,Andina
73678,Tolima,Ibague,506,Andina
73686,Tolima,Nevados,2250,Andina
73770,Tolima,Suroriente,290,Andina
73854,Tolima,Ibague,600,Andina
73861,Tolima,Nevados,348,Andina
73870,Tolima,Nevados,2057,Andina
73873,Tolima,Oriente,860,Andina
76001,Valle del Cauca,Sur,995,Pacifica
76020,Valle del Cauca,Norte,1290,Pacifica
76036,Valle del Cauca,Centro,955,Pacifica
76041,Valle del Cauca,Norte,1035,Pacifica
76054,Valle del Cauca,Norte,1035,Pacifica
76100,Valle del Cauca,Norte,1035,Pacifica
76109,Valle del Cauca,Occidente,7,Pacifica
76111,Valle del Cauca,Centro,969,Pacifica
76113,Valle del Cauca,Centro,950,Pacifica
76122,Valle del Cauca,Oriente,1110,Pacifica
76126,Valle del Cauca,Centro,1485,Pacifica
76130,Valle del Cauca,Sur,975,Pacifica
76147,Valle del Cauca,Norte,917,Pacifica
76233,Valle del Cauca,Sur,1390,Pacifica
76243,Valle del Cauca,Norte,1800,Pacifica
76246,Valle del Cauca,Norte,1850,Pacifica
76248,Valle del Cauca,Centro,987,Pacifica
76250,Valle del Cauca,Norte,1434,Pacifica
76275,Valle del Cauca,Sur,1038,Pacifica
76306,Valle del Cauca,Centro,1100,Pacifica
76318,Valle del Cauca,Centro,966,Pacifica
76364,Valle del Cauca,Sur,975,Pacifica
76377,Valle del Cauca,Sur,1591,Pacifica
76400,Valle del Cauca,Norte,975,Pacifica
76403,Valle del Cauca,Norte,915,Pacifica
76497,Valle del Cauca,Norte,932,Pacifica
76520,Valle del Cauca,Sur,1000,Pacifica
76563,Valle del Cauca,Sur,1057,Pacifica
76606,Valle del Cauca,Centro,1400,Pacifica
76616,Valle del Cauca,Centro,969,Pacifica
76622,Valle del Cauca,Norte,966,Pacifica
76670,Valle del Cauca,Centro,980,Pacifica
76736,Valle del Cauca,Oriente,1538,Pacifica
76823,Valle del Cauca,Norte,950,Pacifica
76828,Valle del Cauca,Centro,1260,Pacifica
76834,Valle del Cauca,Centro,973,Pacifica
76845,Valle del Cauca,Norte,1350,Pacifica
76863,Valle del Cauca,Norte,1860,Pacifica
76869,Valle del Cauca,Sur,987,Pacifica
76890,Valle del Cauca,Centro,972,Pacifica
76892,Valle del Cauca,Sur,1000,Pacifica
76895,Valle del Cauca,Norte,916,Pacifica
81001,Arauca,Arauca,125,Orinoquia
81065,Arauca,Arauca,120,Orinoquia
81220,Arauca,Arauca,120,Orinoquia
81300,Arauca,Arauca,345,Orinoquia
81591,Arauca,Arauca,120,Orinoquia
81736,Arauca,Arauca,210,Orinoquia
81794,Arauca,Arauca,345,Orinoquia
85001,Casanare,Casanare,290,Orinoquia
85010,Casanare,Casanare,290,Orinoquia
85015,Casanare,Casanare,1100,Orinoquia
85125,Casanare,Casanare,250,Orinoquia
85136,Casanare,Casanare,1500,Orinoquia
85139,Casanare,Casanare,200,Orinoquia
85162,Casanare,Casanare,500,Orinoquia
85225,Casanare,Casanare,380,Orinoquia
85230,Casanare,Casanare,143,Orinoquia
85250,Casanare,Casanare,340,Orinoquia
85263,Casanare,Casanare,250,Orinoquia
85279,Casanare,Casanare,800,Orinoquia
85300,Casanare,Casanare,450,Orinoquia
85315,Casanare,Casanare,858,Orinoquia
85325,Casanare,Casanare,200,Orinoquia
85400,Casanare,Casanare,1156,Orinoquia
85410,Casanare,Casanare,450,Orinoquia
85430,Casanare,Casanare,187,Orinoquia
85440,Casanare,Casanare,1250,Orinoquia
86001,Putumayo,Putumayo,595,Amazonia
86219,Putumayo,Putumayo,595,Amazonia
86320,Putumayo,Putumayo,290,Amazonia
86568,Putumayo,Putumayo,290,Amazonia
86569,Putumayo,Putumayo,300,Amazonia
86571,Putumayo,Putumayo,595,Amazonia
86573,Putumayo,Putumayo,200,Amazonia
86749,Putumayo,Putumayo,290,Amazonia
86755,Putumayo,Putumayo,290,Amazonia
86757,Putumayo,Putumayo,290,Amazonia
86760,Putumayo,Putumayo,1640,Amazonia
86865,Putumayo,Putumayo,1640,Amazonia
86885,Putumayo,Putumayo,300,Amazonia
88001,Archipiélago de San Andrés,Archipiélago de s a,300,Caribe
88564,Archipiélago de San Andrés,Archipiélago de s a,300,Caribe
91001,Amazonas,Amazonas,96,Amazonia
91263,Amazonas,Amazonas,96,Amazonia
91405,Amazonas,Amazonas,96,Amazonia
91407,Amazonas,Amazonas,96,Amazonia
91430,Amazonas,Amazonas,96,Amazonia
91460,Amazonas,Amazonas,96,Amazonia
91530,Amazonas,Amazonas,96,Amazonia
91536,Amazonas,Amazonas,96,Amazonia
91540,Amazonas,Amazonas,96,Amazonia
91669,Amazonas,Amazonas,96,Amazonia
91798,Amazonas,Amazonas,96,Amazonia
94001,Guainía,Guainía,100,Amazonia
94343,Guainía,Guainía,100,Amazonia
94663,Guainía,Guainía,100,Amazonia
94883,Guainía,Guainía,100,Amazonia
94884,Guainía,Guainía,100,Amazonia
94885,Guainía,Guainía,100,Amazonia
94886,Guainía,Guainía,100,Amazonia
94887,Guainía,Guainía,100,Amazonia
94888,Guainía,Guainía,100,Amazonia
95001,Guaviare,Guaviare,100,Amazonia
95015,Guaviare,Guaviare,1079,Amazonia
95025,Guaviare,Guaviare,100,Amazonia
95200,Guaviare,Guaviare,100,Amazonia
97001,Vaupés,Vaupés,180,Amazonia
97161,Vaupés,Vaupés,180,Amazonia
97511,Vaupés,Vaupés,180,Amazonia
97666,Vaupés,Vaupés,180,Amazonia
97777,Vaupés,Vaupés,180,Amazonia
97889,Vaupés,Vaupés,180,Amazonia
99001,Vichada,Vichada,1575,Orinoquia
99524,Vichada,Vichada,1575,Orinoquia
99624,Vichada,Vichada,1575,Orinoquia
99773,Vichada,Vichada,1575,Orinoquia
